PLAYER				0 1 1 1 1 1 0 0 1 0 1 1 1 1 0 1 1 0 0 0 0
PLANE				1 0 1 1 1 1 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0
WALL				1 1 0 0 1 1 1 0 1 0 1 1 0 0 0 0 0 0 0 0 1
FLOOR				1 1 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
ENEMY				1 1 1 1 0 0 1 0	0 0 0 0 0 1 1 0 0 0 1 0 1
BULLET				1 1 1 1 0 0 0 0	0 0 0 0 0 1 0 0 0 0 0 1 0
PLAYER_BULLET		0 0 1 0 1 0 0 0	0 0 0 0 0 1 0 0 0 0 0 0 0
LIGHT				0 0 0 0 0 0 0 0	0 0 0 0 0 0 0 0 0 0 0 0 0
SHURIKEN			1 1 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
UICAMERA			0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
FOLLOW_BULLET		1 1 1 0 0 0 0 0	0 0 0 0 0 1 0 0 0 0 0 0 0
HOMING_BULLET		1 1 1 0 0 0 0 0	0 0 0 0 0 1 0 0 0 0 0 0 0
SPELL				1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
DOOR				1 0 0 0 1 1 1 0 1 0 1 1 1 1 0 0 0 0 0 0 1
PLAYER_MELEE		0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENEMY_AOE_SLOW		1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENEMY_AOE_DAMAGE	1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
PICKUP              1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
PLAYER_AOE			0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
PLAYER_SHIELD		0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
PLAYER_BULLET_LOB   0 0 1 1 1 0 0 0	0 0 0 0 0 1 0 0 0 0 0 0 0
