PLAYER			BULLET				ON_BULLET_HIT_PLAYER
BULLET			WALL				ON_BULLET_HIT_WALL
PLAYER_BULLET	ENEMY				ON_PLAYER_BULLET_HIT_ENEMY
PLAYER_BULLET	WALL				ON_BULLET_HIT_WALL
PLAYER			SHURIKEN			ON_BULLET_HIT_PLAYER
SHURIKEN		WALL				ON_BULLET_HIT_WALL
PLAYER			FOLLOW_BULLET		ON_BULLET_HIT_PLAYER
PLAYER			HOMING_BULLET		ON_BULLET_HIT_PLAYER
FOLLOW_BULLET	WALL				ON_BULLET_HIT_WALL
HOMING_BULLET	WALL				ON_BULLET_HIT_WALL
PLAYER			SPELL				ON_SPELL_COLLECT
DOOR            BULLET				ON_BULLET_HIT_DOOR
DOOR            PLAYER_BULLET		ON_BULLET_HIT_DOOR
PLAYER_MELEE	ENEMY				ON_PLAYER_BULLET_HIT_ENEMY
PLAYER			ENEMY_AOE_SLOW		ON_ENEMY_AOE_SLOW_HIT_PLAYER
PLAYER			ENEMY_AOE_DAMAGE	ON_ENEMY_AOE_DAMAGE_HIT_PLAYER
